flight_id,cycle_number,elapsed_time_sec,start_phase,jet_pipe_temp_degC,gas_gen_speed_rpm,gas_gen_speed_pct,compressor_pressure_ratio,ambient_temp_degC,fuel_valve_steps,fuel_flow_kg_per_hr,vibration_mm_per_sec,secu_processor_ok,built_in_test_pass,mil_1553b_status_word,cycle_status,fault_type,flight_hour_elapsed
52,1,0.0,cranking,60.0,1100,5.0,3.774,13.2,29,1.14,0.78,1,1,0x0000,success,,0.0
52,1,1.0,cranking,119.0,2253,10.24,3.776,13.2,36,1.43,0.87,1,1,0x0000,success,,0.0
52,1,2.0,cranking,155.8,3339,15.18,3.79,13.2,37,1.45,0.8,1,1,0x0000,success,,0.0
52,1,3.0,cranking,187.2,4362,19.83,3.786,13.2,41,1.6,0.87,1,1,0x0000,success,,0.0
52,1,4.0,cranking,215.6,5325,24.2,3.784,13.2,48,1.87,0.87,1,1,0x0000,success,,0.0
52,1,5.0,cranking,241.9,6232,28.33,3.799,13.2,53,2.06,0.9,1,1,0x0000,success,,0.0
52,1,6.0,light-up,266.7,7086,32.21,3.795,13.2,54,2.13,1.03,1,1,0x0000,success,,0.0
52,1,7.0,light-up,290.3,7890,35.87,3.79,13.2,62,2.44,1.08,1,1,0x0000,success,,0.0
52,1,8.0,light-up,312.8,8648,39.31,3.788,13.2,66,2.59,1.06,1,1,0x0000,success,,0.0
52,1,9.0,light-up,334.6,9362,42.55,3.807,13.2,70,2.74,1.1,1,1,0x0000,success,,0.0
52,1,10.0,light-up,355.6,10034,45.61,3.797,13.2,74,2.88,1.1,1,1,0x0000,success,,0.0
52,1,11.0,light-up,376.0,10666,48.48,3.808,13.2,79,3.11,1.13,1,1,0x0000,success,,0.0
52,1,12.0,light-up,395.8,11262,51.19,3.799,13.2,80,3.14,1.14,1,1,0x0000,success,,0.0
52,1,13.0,acceleration,415.2,11824,53.74,3.808,13.2,85,3.34,1.26,1,1,0x0000,success,,0.0
52,1,14.0,acceleration,434.1,12352,56.15,3.802,13.2,87,3.43,1.29,1,1,0x0000,success,,0.0
52,1,15.0,acceleration,452.6,12850,58.41,3.818,13.2,96,3.76,1.32,1,1,0x0000,success,,0.0
52,1,16.0,acceleration,470.7,13319,60.54,3.807,13.2,98,3.86,1.24,1,1,0x0000,success,,0.0
52,1,17.0,acceleration,488.5,13760,62.55,3.809,13.2,100,3.91,1.3,1,1,0x0000,success,,0.0
52,1,18.0,acceleration,506.0,14176,64.44,3.819,13.2,106,4.14,1.34,1,1,0x0000,success,,0.0
52,1,19.0,acceleration,523.2,14568,66.22,3.818,13.2,111,4.36,1.33,1,1,0x0000,success,,0.0
52,1,20.0,acceleration,540.1,14936,67.89,3.811,13.2,116,4.54,1.35,1,1,0x0000,success,,0.0
52,1,21.0,acceleration,556.8,15284,69.47,3.814,13.2,120,4.73,1.39,1,1,0x0000,success,,0.0
52,1,22.0,acceleration,573.3,15611,70.96,3.824,13.2,124,4.85,1.39,1,1,0x0000,success,,0.0
52,1,23.0,acceleration,589.5,15919,72.36,3.832,13.2,127,4.96,1.47,1,1,0x0000,success,,0.0
52,1,24.0,acceleration,605.5,16209,73.68,3.827,13.2,132,5.19,1.48,1,1,0x0000,success,,0.0
52,1,25.0,acceleration,621.3,16482,74.92,3.822,13.2,136,5.31,1.6,1,1,0x0000,success,,0.0
52,1,26.0,self-sustaining,636.9,16739,76.09,3.831,13.2,138,5.43,1.58,1,1,0x0000,success,,0.0
52,1,27.0,self-sustaining,652.4,16982,77.19,3.826,13.2,142,5.56,1.62,1,1,0x0000,success,,0.0
52,1,28.0,self-sustaining,667.7,17210,78.23,3.84,13.2,149,5.83,1.7,1,1,0x0000,success,,0.0
52,1,29.0,self-sustaining,682.8,17425,79.2,3.831,13.2,155,6.06,1.72,1,1,0x0000,success,,0.0
52,1,30.0,self-sustaining,697.7,17627,80.12,3.837,13.2,156,6.11,1.64,1,1,0x0000,success,,0.0
52,1,31.0,self-sustaining,712.5,17818,80.99,3.846,13.2,162,6.34,1.75,1,1,0x0000,success,,0.0
52,1,32.0,self-sustaining,727.2,17997,81.81,3.846,13.2,166,6.49,1.79,1,1,0x0000,success,,0.0
52,1,33.0,self-sustaining,741.7,18166,82.57,3.84,13.2,172,6.74,1.81,1,1,0x0000,success,,0.0
52,1,34.0,self-sustaining,756.1,18325,83.3,3.855,13.2,173,6.8,1.88,1,1,0x0000,success,,0.0
52,1,35.0,self-sustaining,770.4,18475,83.98,3.843,13.2,178,6.97,1.84,1,1,0x0000,success,,0.0
52,1,36.0,self-sustaining,784.5,18617,84.62,3.857,13.2,184,7.2,1.92,1,1,0x0000,success,,0.0
52,1,37.0,self-sustaining,798.6,18750,85.23,3.86,13.2,186,7.29,1.86,1,1,0x0000,success,,0.0
52,1,38.0,self-sustaining,812.5,18875,85.79,3.865,13.2,193,7.56,2.0,1,1,0x0000,success,,0.0
52,1,39.0,self-sustaining,826.3,18993,86.33,3.865,13.2,193,7.55,2.04,1,1,0x0000,success,,0.0
